timestamp,symbol,qty,price
2024-01-15 09:30:15,AAPL,100,150.12
2024-01-15 09:45:23,AAPL,200,150.25
2024-01-15 10:12:45,AAPL,500,150.18
2024-01-15 10:30:12,AAPL,-100,150.32
2024-01-15 11:05:33,AAPL,300,150.45
2024-01-15 11:22:19,AAPL,1000,150.52
2024-01-15 12:01:44,AAPL,200,150.38
2024-01-15 12:45:22,AAPL,-500,150.29
2024-01-15 13:15:08,AAPL,100,150.41
2024-01-15 13:50:33,AAPL,1500,150.55
2024-01-15 14:20:15,AAPL,200,150.48
2024-01-15 15:05:44,AAPL,-300,150.62
2024-01-15 15:45:21,AAPL,500,150.71
2024-01-15 09:32:11,MSFT,200,300.25
2024-01-15 09:58:33,MSFT,100,300.45
2024-01-15 10:25:19,MSFT,500,300.38
2024-01-15 10:52:44,MSFT,-200,300.52
2024-01-15 11:18:22,MSFT,1000,300.61
2024-01-15 11:45:08,MSFT,300,300.48
2024-01-15 12:15:33,MSFT,-100,300.55
2024-01-15 12:48:15,MSFT,200,300.42
2024-01-15 13:22:44,MSFT,500,300.58
2024-01-15 13:55:19,MSFT,-500,300.67
2024-01-15 14:28:33,MSFT,1500,300.73
2024-01-15 15:12:08,MSFT,200,300.81
2024-01-15 15:52:21,MSFT,-300,300.89
2024-01-15 09:31:22,GOOGL,300,120.15
2024-01-15 09:55:44,GOOGL,100,120.22
2024-01-15 10:18:19,GOOGL,200,120.18
2024-01-15 10:42:33,GOOGL,-100,120.28
2024-01-15 11:08:15,GOOGL,500,120.35
2024-01-15 11:35:44,GOOGL,200,120.41
2024-01-15 12:08:22,GOOGL,-300,120.32
2024-01-15 12:38:08,GOOGL,1000,120.38
2024-01-15 13:12:33,GOOGL,100,120.45
2024-01-15 13:42:19,GOOGL,-200,120.52
2024-01-15 14:15:44,GOOGL,500,120.48
2024-01-15 14:52:22,GOOGL,300,120.58
2024-01-15 15:28:08,GOOGL,-500,120.65
2024-01-15 15:58:33,GOOGL,200,120.71
2024-01-16 09:30:44,AAPL,500,151.22
2024-01-16 10:05:19,AAPL,200,151.35
2024-01-16 10:42:33,AAPL,-100,151.28
2024-01-16 11:18:15,AAPL,300,151.42
2024-01-16 11:55:44,AAPL,1000,151.55
2024-01-16 12:32:22,AAPL,-500,151.48
2024-01-16 13:08:08,AAPL,200,151.52
2024-01-16 13:45:33,AAPL,100,151.61
2024-01-16 14:22:19,AAPL,-300,151.68
2024-01-16 15:05:44,AAPL,500,151.75
