timestamp,symbol,side,qty,price
2026-02-01 09:30:01,AAPL,B,100,189.20
2026-02-01 09:31:15,AAPL,S,40,189.50
2026-02-01 09:33:00,AAPL,B,60,190.40
2026-02-01 09:34:10,MSFT,B,50,412.10
2026-02-01 09:35:20,MSFT,S,10,412.40
2026-02-02 10:15:22,AAPL,B,250,268.90
2026-02-02 10:45:10,MSFT,S,100,422.15
2026-02-02 11:30:05,GOOGL,B,15,342.10
2026-02-02 14:20:44,NVDA,S,500,184.20
2026-02-02 15:55:00,AMZN,B,80,242.10
2026-02-03 09:45:12,AAPL,S,150,269.20
2026-02-03 10:12:33,MSFT,B,200,415.50
2026-02-03 12:05:19,NVDA,B,1000,181.75
2026-02-03 13:45:00,GOOGL,S,45,340.25
2026-02-03 15:10:22,AMZN,S,120,239.10
2026-02-04 09:32:05,AAPL,B,300,273.15
2026-02-04 11:20:44,MSFT,S,75,413.20
2026-02-04 13:55:10,GOOGL,B,30,334.80
2026-02-04 14:40:22,NVDA,S,250,176.40
2026-02-04 15:20:00,AMZN,B,200,233.50
2026-02-05 09:50:15,AAPL,S,500,275.80
2026-02-05 10:30:44,MSFT,B,150,400.10
2026-02-05 12:15:33,NVDA,B,800,172.50
2026-02-05 14:05:01,GOOGL,S,100,332.10
2026-02-05 15:45:55,AMZN,S,300,223.40
2026-02-06 09:35:10,AAPL,B,120,277.10
2026-02-06 11:10:22,MSFT,S,60,399.80
2026-02-06 13:25:44,GOOGL,B,50,325.40
2026-02-06 14:50:05,NVDA,B,400,182.15
2026-02-06 15:58:30,AMZN,S,500,211.20
2026-02-09 09:40:12,AAPL,S,200,276.50
2026-02-09 10:55:33,MSFT,B,300,410.20
2026-02-09 12:30:19,NVDA,S,150,189.50
2026-02-09 14:15:00,GOOGL,B,25,324.10
2026-02-09 15:30:44,AMZN,B,1000,208.90
2026-02-10 09:35:05,AAPL,B,400,274.85
2026-02-10 09:45:22,MSFT,B,100,419.50
2026-02-10 09:55:10,GOOGL,S,60,318.20
2026-02-10 10:02:44,NVDA,S,300,189.80
2026-02-10 10:04:15,AMZN,B,450,209.60
